order_id,customer_id,order_date,status,payment_method,total_amount
108,3308,2025-04-10,Pending,Credit Card,77815.27
109,1753,2025-09-13,Delivered,Credit Card,8767.55
110,7692,2024-07-31,Pending,Credit Card,89614.1
111,5254,2024-07-18,Shipped,Debit Card,199200.79
112,4579,2025-04-06,Pending,Net Banking,73638.18
113,5552,2024-06-16,Pending,Debit Card,61932.26
114,754,2024-08-16,Pending,Net Banking,144784.03
115,6198,2024-12-06,Pending,COD,198253.71
116,6779,2023-09-24,Pending,Debit Card,93728.06
117,7786,2025-07-07,Shipped,UPI,136205.33
118,3307,2025-02-27,Pending,Debit Card,100504.08
119,4926,2023-07-07,Pending,Net Banking,102113.75
120,1302,2025-06-04,Delivered,UPI,178774.37
121,9004,2025-11-17,Cancelled,Net Banking,82641.86
122,4359,2024-03-27,Pending,Credit Card,96265.88
123,8577,2026-05-12,Cancelled,COD,129114.76
124,3964,2026-03-25,Pending,UPI,77300.13
125,5611,2023-08-15,Pending,Debit Card,133072.63
126,2477,2025-05-15,Shipped,Credit Card,135023.92
127,9831,2024-01-25,Pending,UPI,58300.95
128,2446,2025-07-14,Delivered,Net Banking,99397.77
129,2083,2025-03-24,Cancelled,Credit Card,93636.42
130,8009,2024-04-21,Shipped,UPI,142372.27
131,3664,2023-05-27,Shipped,Debit Card,180756.35
132,3409,2025-08-05,Shipped,COD,97833.71
133,8330,2023-12-18,Delivered,COD,187194.39
134,7251,2025-09-09,Pending,Net Banking,19844.68
135,8427,2026-04-16,Delivered,Net Banking,185636.41
136,8660,2024-01-12,Pending,Debit Card,46004.15
137,7573,2024-07-28,Pending,Net Banking,49004.44
138,4372,2023-12-20,Cancelled,Net Banking,44487.37
139,8139,2025-06-18,Shipped,Credit Card,88048.63
140,4472,2023-12-30,Cancelled,UPI,72108.37
141,8363,2026-01-23,Pending,Debit Card,70695.69
142,406,2024-08-20,Pending,UPI,92820.1
143,3034,2026-03-13,Cancelled,UPI,198333.36
144,326,2025-01-30,Pending,Debit Card,16248.46
145,7015,2025-10-26,Pending,Net Banking,183696.02
146,5251,2024-06-11,Delivered,UPI,37285.53
147,9140,2025-03-14,Pending,Credit Card,87961.26
148,3189,2025-12-17,Pending,UPI,157939.11
149,2783,2025-01-03,Cancelled,COD,46181.65
150,6616,2024-04-03,Delivered,Credit Card,10175.42
151,2813,2024-06-02,Delivered,Debit Card,82798.9
152,1632,2024-05-09,Pending,COD,199362.88
153,9126,2025-07-14,Delivered,COD,118654.73
154,1531,2025-11-18,Cancelled,UPI,140047.6
155,8701,2025-05-26,Cancelled,Credit Card,48449.51
156,9053,2025-11-13,Pending,UPI,69221.91
157,3280,2025-08-17,Delivered,Credit Card,150252.97
158,5096,2025-09-09,Pending,COD,52520.36
159,8740,2024-06-16,Cancelled,Credit Card,97544.89
160,1795,2025-10-19,Pending,Net Banking,176581.74
161,7023,2025-08-20,Pending,Debit Card,127419.28
162,2436,2024-08-13,Shipped,COD,94029.78
163,1019,2024-11-13,Shipped,Credit Card,65559.73
164,1931,2026-04-21,Cancelled,Net Banking,154199.54
165,4534,2024-03-18,Shipped,Credit Card,34013.94
166,5155,2024-02-08,Pending,UPI,39377.83
167,1541,2025-07-13,Shipped,Net Banking,183116.03
168,9684,2025-12-05,Delivered,COD,138289.7
169,3447,2023-11-17,Shipped,UPI,34323.06
170,7821,2024-04-29,Pending,UPI,58628.6
171,4049,2023-12-10,Shipped,Net Banking,24008.52
172,2539,2024-03-09,Pending,Net Banking,25783.26
173,7761,2024-08-12,Pending,Credit Card,81338.52
174,7269,2023-11-29,Pending,UPI,183263.45
175,5803,2026-01-03,Cancelled,Net Banking,143111.22
176,6604,2025-05-27,Shipped,Net Banking,49562.74
177,5497,2026-02-11,Cancelled,UPI,152977.74
178,2231,2025-07-08,Delivered,Debit Card,29224.45
179,4764,2025-12-10,Shipped,COD,142784.64
180,9741,2023-09-08,Cancelled,COD,170270.11
181,8673,2026-01-31,Shipped,Net Banking,48805.67
182,5502,2024-03-29,Pending,UPI,185759.85
183,3618,2023-06-11,Cancelled,Credit Card,169894.19
184,8425,2025-01-16,Pending,Debit Card,164000.4
185,758,2023-06-25,Cancelled,COD,128106.01
186,4867,2024-04-12,Pending,Debit Card,128641.93
187,2713,2025-06-02,Pending,Credit Card,78040.26
188,3941,2025-09-08,Cancelled,COD,147651.94
189,8860,2024-08-06,Pending,Net Banking,130625.58
190,771,2026-05-10,Delivered,COD,157876.97
191,6299,2023-11-01,Shipped,UPI,57369.49
192,4857,2024-09-21,Cancelled,UPI,51134.48
193,8960,2024-02-15,Pending,Net Banking,1848.35
194,6741,2025-04-10,Shipped,COD,58958.81
195,9087,2025-03-17,Cancelled,Net Banking,52197.94
196,1736,2024-12-22,Pending,UPI,85079.96
197,9747,2024-06-17,Cancelled,COD,86648.06
198,3197,2023-07-16,Pending,Credit Card,91360.41
199,5948,2023-06-02,Delivered,Credit Card,178515.9
200,6116,2023-07-12,Cancelled,Net Banking,162316.09
201,9290,2025-12-20,Pending,UPI,13808.61
202,9388,2024-09-14,Shipped,Credit Card,87108.15
203,1405,2023-11-04,Cancelled,UPI,89266.76
204,5777,2025-12-11,Delivered,COD,75757.89
205,4709,2023-07-10,Shipped,UPI,53286.76
206,8323,2024-09-16,Cancelled,Debit Card,166552.96
207,8326,2026-04-12,Cancelled,COD,95472.97
208,4499,2023-10-24,Shipped,UPI,170525.79
209,2202,2024-12-08,Pending,COD,2500.6
210,323,2025-03-22,Delivered,UPI,48205.44
211,2515,2025-03-19,Cancelled,COD,40872.62
212,2958,2023-11-07,Cancelled,COD,14622.47
213,8167,2024-09-05,Pending,Credit Card,95121.25
214,932,2024-09-13,Cancelled,Net Banking,98035.05
215,1036,2025-02-16,Cancelled,UPI,22082.4
216,5499,2024-11-16,Pending,Net Banking,165742.96
217,1141,2024-03-10,Shipped,Net Banking,55147.35
218,1874,2025-05-23,Shipped,Net Banking,76314.45
219,3268,2026-01-25,Delivered,COD,2249.43
220,4969,2024-01-11,Delivered,Net Banking,182489.55
221,4527,2024-04-16,Delivered,Net Banking,155472.61
222,5607,2024-05-14,Cancelled,Net Banking,148064.22
223,5345,2025-04-16,Pending,Credit Card,64598.64
224,3086,2025-04-28,Pending,Net Banking,56938.65
225,5511,2024-04-29,Pending,Credit Card,134491.21
226,8029,2024-02-07,Pending,Debit Card,182329.33
227,5285,2025-02-16,Delivered,Debit Card,103258.94
228,4563,2024-12-28,Delivered,UPI,26318.86
229,9617,2025-11-19,Cancelled,COD,190915.83
230,8512,2025-05-20,Pending,Credit Card,4596.65
231,6761,2025-11-15,Delivered,UPI,104117.07
232,4117,2025-05-01,Cancelled,COD,38665.68
233,3555,2025-07-10,Delivered,UPI,61731.87
234,4917,2024-08-25,Cancelled,COD,6314.54
235,1030,2024-07-28,Pending,UPI,137916.04
236,4210,2026-03-05,Pending,Debit Card,98095.69
237,2581,2023-11-21,Delivered,Net Banking,153377.25
238,326,2024-05-15,Delivered,Credit Card,48620.12
239,5295,2024-11-23,Pending,COD,179136.28
240,3027,2024-02-10,Delivered,Net Banking,85067.51
241,8476,2024-03-02,Pending,Debit Card,109316.59
242,2424,2025-12-02,Cancelled,Debit Card,175466.74
243,5374,2025-07-04,Cancelled,Net Banking,65869.07
244,871,2023-10-15,Delivered,COD,573.48
245,6971,2023-08-06,Cancelled,UPI,69866.62
246,5931,2025-06-03,Delivered,COD,94313.98
247,1500,2023-10-06,Shipped,UPI,163044.81
248,4020,2024-02-19,Shipped,Credit Card,124622.39
249,7383,2024-05-04,Cancelled,Credit Card,29523.46
250,6791,2024-07-08,Cancelled,Debit Card,76617.45
251,92,2024-01-04,Delivered,Debit Card,64808.46
252,9503,2025-05-12,Shipped,Credit Card,139778.33
253,5348,2024-01-25,Shipped,Credit Card,71650.06
254,187,2025-10-04,Shipped,Debit Card,189224.15
255,7365,2023-10-01,Shipped,UPI,64879.39
256,5150,2024-05-01,Delivered,Debit Card,170560.63
257,1220,2024-12-13,Cancelled,Debit Card,44039.03
258,7567,2024-12-15,Delivered,Debit Card,176448.45
259,4498,2024-03-29,Delivered,UPI,120289.82
260,5363,2024-05-09,Delivered,UPI,143920.62
261,2715,2024-12-16,Pending,COD,16514.46
262,61,2023-07-26,Cancelled,Credit Card,33315.38
263,73,2025-02-25,Delivered,Net Banking,59905.32
264,9700,2023-06-15,Delivered,Credit Card,62940.45
265,4560,2024-01-04,Shipped,Net Banking,128372.62
266,1741,2024-04-04,Pending,UPI,167964.17
267,8558,2023-08-13,Shipped,COD,80844.86
268,7772,2025-02-03,Shipped,Credit Card,117512.91
269,4252,2025-12-28,Shipped,Debit Card,174262.43
270,1281,2026-02-07,Cancelled,UPI,194400.98
271,1929,2024-06-05,Cancelled,Credit Card,66391.25
272,3164,2026-05-17,Cancelled,Net Banking,387.46
273,3945,2024-07-21,Pending,Net Banking,181959.64
274,1260,2025-08-26,Shipped,Debit Card,125009.91
275,4492,2026-04-14,Delivered,COD,195794.75
276,936,2023-07-12,Pending,COD,18676.32
277,7207,2023-07-13,Cancelled,COD,186538.05
278,2916,2025-10-04,Delivered,Net Banking,193584.37
279,6270,2025-04-16,Pending,Credit Card,166125.69
280,1923,2025-07-06,Delivered,Credit Card,88425.48
281,4970,2024-07-05,Cancelled,UPI,194029.55
282,2080,2025-12-29,Delivered,Net Banking,14583.6
283,1434,2023-09-11,Shipped,Debit Card,168348.32
284,4596,2025-05-05,Pending,UPI,29889.25
285,794,2024-05-21,Cancelled,COD,49390.48
286,3696,2023-10-01,Delivered,Credit Card,28194.68
287,7330,2024-04-26,Delivered,UPI,63724.51
288,8680,2024-10-31,Pending,Debit Card,48206.61
289,9710,2025-09-03,Pending,UPI,59722.35
290,6834,2024-07-28,Delivered,Debit Card,2487.91
291,928,2023-10-03,Shipped,Debit Card,108241.06
292,7402,2025-02-23,Shipped,COD,44984.9
293,354,2025-05-31,Cancelled,COD,156168.05
294,117,2023-08-10,Delivered,UPI,182976.84
295,2980,2025-03-26,Delivered,COD,153871.19
296,1363,2024-01-19,Pending,COD,146201.73
297,9206,2025-03-04,Pending,Debit Card,30769.68
298,4075,2024-03-03,Pending,Debit Card,154082.27
299,9354,2024-10-07,Shipped,COD,116327.45
300,463,2024-11-05,Pending,Debit Card,18240.21
301,749,2024-03-30,Cancelled,Debit Card,42480.47
302,4401,2025-05-06,Pending,Credit Card,62018.51
303,5362,2025-07-21,Cancelled,Net Banking,183305.19
304,6537,2026-01-26,Cancelled,Debit Card,84671.5
305,4843,2024-03-14,Cancelled,Debit Card,67231.93
306,3829,2024-08-26,Pending,Debit Card,69282.78
307,9876,2024-07-18,Delivered,COD,191531.01
308,53,2025-05-26,Pending,Credit Card,170283.56
309,8071,2025-07-17,Delivered,Credit Card,102648.16
310,7229,2024-05-29,Shipped,Debit Card,69157.31
311,3043,2024-06-27,Pending,COD,113669.71
312,3080,2025-05-18,Shipped,Credit Card,73022.15
313,2019,2023-11-24,Shipped,Credit Card,84358.48
314,1574,2023-07-07,Shipped,UPI,79981.72
315,698,2025-02-03,Cancelled,Credit Card,89316.67
316,2718,2025-09-24,Shipped,Net Banking,61524.12
317,1654,2025-12-04,Shipped,Credit Card,187724.63
318,145,2024-12-19,Cancelled,Debit Card,32072.81
319,1803,2025-10-21,Shipped,UPI,101686.4
320,2687,2025-10-27,Pending,UPI,21110.24
321,2171,2025-11-25,Delivered,UPI,181700.15
322,2975,2025-10-20,Delivered,UPI,1949.55
323,7238,2024-11-13,Delivered,COD,11832.56
324,2353,2025-12-12,Shipped,COD,97843.07
325,9992,2025-08-12,Pending,COD,67698.82
326,9292,2024-08-21,Cancelled,Net Banking,33010.71
327,2258,2025-04-23,Shipped,Debit Card,46045.12
328,3910,2024-08-10,Cancelled,UPI,31009.69
329,4805,2023-11-26,Pending,Debit Card,19993.64
330,5967,2025-10-02,Cancelled,Net Banking,69492.1
331,9412,2024-01-15,Cancelled,UPI,193709.56
332,5526,2025-06-05,Cancelled,COD,49034.31
333,6418,2026-05-16,Delivered,Debit Card,11441.64
334,1049,2025-02-26,Cancelled,UPI,177911.07
335,934,2023-06-11,Cancelled,Debit Card,51394.24
336,5425,2023-06-02,Pending,Net Banking,76484.54
337,8683,2025-07-29,Delivered,UPI,141322.06
338,5208,2024-08-01,Pending,Net Banking,11037.43
339,2801,2023-12-21,Pending,COD,562.6
340,1102,2025-05-26,Delivered,Credit Card,16098.84
341,5692,2024-05-23,Shipped,Credit Card,50103.14
342,6681,2025-10-23,Shipped,Credit Card,77526.93
343,9911,2023-08-15,Pending,Credit Card,151732.06
344,9066,2025-12-14,Pending,Debit Card,61092.01
345,1739,2025-09-17,Cancelled,Debit Card,156371.02
346,3594,2023-08-13,Shipped,Debit Card,27740.56
347,7532,2024-12-15,Pending,Credit Card,34509.78
348,6612,2024-10-14,Pending,Debit Card,9524.69
349,451,2025-11-24,Pending,COD,88539.06
350,2864,2023-08-13,Shipped,COD,65120.62
351,8998,2024-05-27,Cancelled,Credit Card,163210.51
352,6767,2025-02-15,Delivered,Credit Card,77856.14
353,3226,2024-05-03,Cancelled,UPI,75050.67
354,7015,2025-11-10,Pending,UPI,3188.89
355,5098,2024-08-26,Cancelled,COD,28425.35
356,3558,2024-10-02,Cancelled,Debit Card,15759.69
357,2652,2026-01-13,Cancelled,Debit Card,26429.85
358,7219,2024-01-12,Pending,Credit Card,79372.08
359,2019,2025-12-12,Pending,UPI,195598.11
360,7474,2025-07-26,Shipped,Credit Card,114479.4
361,4633,2024-10-26,Pending,Credit Card,131937.15
362,8743,2023-05-23,Shipped,Credit Card,108009.07
363,6273,2023-12-20,Cancelled,Net Banking,110525.69
364,5351,2023-11-09,Pending,Credit Card,119823.11
365,2484,2023-11-20,Shipped,Net Banking,122964.46
366,2528,2024-02-10,Shipped,COD,1866.06
367,7477,2024-09-25,Shipped,Credit Card,187788.65
368,5375,2023-10-17,Cancelled,UPI,30704.06
369,3775,2023-07-20,Delivered,Net Banking,171033.16
370,1025,2025-01-20,Pending,UPI,106931.23
371,5065,2026-04-21,Cancelled,Net Banking,43671.31
372,7881,2023-12-03,Shipped,Debit Card,169149.73
373,408,2023-11-06,Delivered,COD,98676.48
374,7695,2025-10-15,Delivered,UPI,36255.67
375,4970,2025-10-18,Cancelled,COD,179327.16
376,8489,2025-04-20,Cancelled,Net Banking,83114.9
377,4175,2023-12-11,Delivered,UPI,108023.24
378,2178,2024-09-15,Delivered,UPI,169947.44
379,3099,2024-07-14,Pending,Debit Card,184059.43
380,9655,2023-08-30,Pending,COD,120360.05
381,8077,2024-01-16,Shipped,Debit Card,131457.53
382,3248,2025-12-29,Pending,COD,143276.92
383,6899,2025-01-30,Pending,Net Banking,153452.12
384,2905,2024-04-07,Shipped,Net Banking,2351.5
385,8155,2025-09-29,Delivered,COD,98743.01
386,79,2023-07-28,Shipped,Credit Card,104697.31
387,8932,2024-08-22,Pending,Net Banking,197541.1
388,3381,2023-07-12,Pending,COD,166978.91
389,1027,2025-06-30,Pending,Debit Card,3646.93
390,4878,2023-07-08,Pending,UPI,72931.76
391,8213,2023-10-01,Cancelled,Debit Card,60454.11
392,8955,2025-11-06,Shipped,UPI,11962.47
393,4755,2023-12-28,Shipped,Net Banking,69932.25
394,535,2025-09-30,Shipped,UPI,58826.13
395,7350,2024-08-22,Delivered,Debit Card,47297.07
396,9627,2024-09-24,Shipped,Debit Card,32861.13
397,6498,2026-03-07,Pending,COD,116022.44
398,7183,2025-04-26,Pending,UPI,131645.69
399,8435,2024-01-09,Shipped,COD,186414.48
400,2242,2023-06-03,Shipped,Net Banking,97825.28
401,4545,2023-11-28,Delivered,Credit Card,15178.82
402,3402,2026-01-05,Shipped,COD,155605.9
403,1925,2024-06-03,Shipped,Net Banking,152121.24
404,3541,2025-06-29,Shipped,Net Banking,157276.84
405,9013,2026-02-21,Shipped,Debit Card,166569.65
406,6388,2023-06-16,Cancelled,Credit Card,4191.71
407,3080,2025-12-18,Shipped,Credit Card,21790.61
408,5261,2023-08-19,Cancelled,Credit Card,179673.06
409,1259,2025-12-26,Pending,Net Banking,190039.92
410,7451,2026-03-12,Cancelled,COD,115911.34
411,8854,2023-07-06,Shipped,Debit Card,13255.84
412,8850,2026-03-26,Pending,Debit Card,80718.71
413,4628,2024-03-24,Delivered,Net Banking,37786.2
414,8177,2023-11-03,Shipped,Debit Card,76562.66
415,484,2024-09-05,Cancelled,UPI,62821.99
416,4063,2026-04-03,Cancelled,COD,3327.18
417,3772,2023-06-12,Cancelled,COD,109989.88
418,5618,2024-02-16,Pending,Credit Card,126560.04
419,9187,2023-12-12,Pending,Debit Card,45981.68
420,7248,2024-11-22,Shipped,Debit Card,11742.82
421,9263,2023-11-22,Cancelled,Debit Card,76753.26
422,8158,2026-01-07,Shipped,Net Banking,2905.51
423,489,2025-02-05,Shipped,Net Banking,40215.29
424,7358,2025-04-04,Pending,Net Banking,61784.04
425,4563,2024-03-18,Cancelled,Net Banking,177908.09
426,4775,2024-10-22,Delivered,COD,123180.13
427,7543,2025-03-07,Shipped,Credit Card,9146.21
428,4993,2024-01-27,Shipped,Debit Card,3089.13
429,3945,2026-01-06,Shipped,UPI,84081.78
430,278,2025-10-13,Cancelled,Credit Card,40182.38
431,4809,2025-04-01,Pending,UPI,8651.2
432,1508,2024-10-26,Cancelled,Credit Card,137741.3
433,4767,2024-01-04,Shipped,Net Banking,178520.91
434,1064,2025-02-12,Delivered,Debit Card,177235.32
435,5058,2024-01-07,Pending,Credit Card,142642.94
436,2971,2024-11-18,Shipped,Net Banking,33892.57
437,9119,2025-06-06,Delivered,Debit Card,92377.56
438,5690,2023-06-28,Pending,Net Banking,69640.01
439,6732,2025-03-28,Shipped,UPI,190602.14
440,2485,2024-01-16,Cancelled,UPI,23608.85
441,3821,2025-08-09,Cancelled,UPI,12216.66
442,9724,2023-06-13,Shipped,Net Banking,17105.0
443,2736,2024-05-12,Shipped,Debit Card,96799.88
444,5613,2023-07-18,Pending,Debit Card,41339.53
445,7860,2024-02-20,Pending,Debit Card,112978.51
446,8595,2023-08-27,Shipped,UPI,61593.18
447,1518,2026-03-02,Cancelled,Credit Card,174115.61
448,2867,2023-07-22,Delivered,UPI,194317.62
449,3424,2024-06-30,Delivered,Credit Card,100753.31
450,1983,2026-05-20,Shipped,Credit Card,72615.25
451,4430,2023-08-30,Shipped,UPI,98475.35
452,7619,2024-06-30,Shipped,Debit Card,106596.77
453,1088,2025-01-15,Cancelled,Net Banking,29325.95
454,7302,2023-06-17,Shipped,COD,64639.94
455,9756,2024-03-21,Delivered,UPI,169299.89
456,1948,2025-09-04,Cancelled,Debit Card,153854.69
457,2332,2024-09-21,Shipped,COD,53716.02
458,6770,2024-01-19,Pending,Credit Card,147967.43
459,9706,2025-03-19,Shipped,UPI,189881.99
460,8939,2023-10-18,Pending,UPI,134314.59
461,2749,2024-04-10,Pending,UPI,22610.12
462,1928,2025-07-16,Pending,COD,10719.24
463,6688,2024-12-04,Delivered,Net Banking,4773.15
464,4355,2024-03-07,Delivered,Credit Card,119808.73
465,9740,2026-03-19,Cancelled,COD,122786.08
466,3565,2024-01-17,Cancelled,Credit Card,77462.02
467,5040,2026-01-19,Delivered,UPI,64754.05
468,3812,2024-07-17,Pending,Debit Card,78024.34
469,459,2024-11-17,Shipped,COD,161358.46
470,1720,2026-03-11,Shipped,Debit Card,37171.68
471,4824,2023-08-27,Cancelled,COD,169440.53
472,9213,2024-09-06,Cancelled,COD,98809.77
473,9538,2025-07-01,Shipped,Debit Card,160941.33
474,7038,2023-06-30,Pending,Net Banking,169363.21
475,1499,2023-08-19,Cancelled,Net Banking,177652.12
476,4799,2025-08-13,Pending,Net Banking,186506.84
477,1523,2025-07-26,Shipped,COD,169505.82
478,7762,2025-12-16,Cancelled,Credit Card,185064.61
479,9745,2025-09-23,Pending,COD,152860.56
480,1501,2024-10-13,Pending,UPI,182906.0
481,3001,2024-08-09,Delivered,Credit Card,138743.42
482,5181,2025-04-13,Pending,Net Banking,12377.08
483,1798,2023-09-17,Shipped,UPI,74950.95
484,6927,2025-11-10,Pending,Net Banking,44953.38
485,524,2024-07-30,Shipped,COD,80313.65
486,3750,2025-02-13,Shipped,Credit Card,170551.66
487,8217,2025-09-11,Shipped,UPI,102206.81
488,7050,2026-04-20,Pending,Credit Card,191967.98
489,1968,2023-07-09,Delivered,COD,36120.68
490,873,2025-11-21,Delivered,COD,90839.35
491,9816,2025-12-27,Cancelled,COD,88233.08
492,10,2025-05-14,Pending,Debit Card,163662.17
493,4436,2025-08-20,Delivered,Credit Card,53636.78
494,6577,2024-12-09,Pending,Net Banking,142767.72
495,3409,2024-12-28,Shipped,Credit Card,163198.83
496,1091,2023-07-06,Pending,UPI,87628.28
497,7004,2023-08-16,Pending,Credit Card,2585.92
498,40,2024-01-31,Cancelled,UPI,162655.84
499,1597,2023-06-12,Pending,UPI,61386.08
500,8788,2025-03-14,Shipped,Credit Card,158076.87
501,6662,2025-05-29,Pending,UPI,66507.61
502,2809,2025-01-14,Pending,UPI,31140.59
503,3993,2025-12-22,Cancelled,Credit Card,6359.74
504,632,2026-04-21,Shipped,COD,2099.22
505,6558,2025-11-04,Shipped,Debit Card,85311.55
506,2902,2025-04-14,Cancelled,Net Banking,118737.61
507,5836,2025-07-16,Delivered,Credit Card,2614.76
508,2414,2025-06-27,Shipped,Debit Card,127977.26
509,3687,2024-05-25,Shipped,Credit Card,194158.07
510,950,2025-04-11,Pending,Net Banking,125566.0
511,5819,2025-10-06,Pending,COD,130678.01
512,2488,2024-10-18,Pending,Credit Card,154293.53
513,8977,2024-05-27,Cancelled,Net Banking,131656.06
514,5541,2025-01-11,Delivered,UPI,199483.62
515,7026,2024-10-15,Pending,Debit Card,123935.75
516,234,2024-03-24,Pending,Debit Card,58244.95
517,5383,2026-04-25,Cancelled,Debit Card,11381.69
518,4930,2024-10-06,Delivered,Net Banking,22282.68
519,2901,2025-03-08,Delivered,Debit Card,108265.65
520,3388,2026-02-27,Shipped,Credit Card,79168.96
