return_id,order_id,return_reason,refund_amount,return_date
52,11225,Changed Mind,36320.86,2024-12-12
53,23573,Changed Mind,45450.11,2025-05-08
54,6303,Quality Issue,2012.03,2025-12-19
55,3248,Wrong Item,8729.03,2025-06-02
56,42340,Wrong Item,10615.32,2025-05-07
57,40103,Wrong Item,42137.19,2026-04-20
58,28362,Quality Issue,37909.97,2024-07-25
59,29929,Quality Issue,41271.24,2025-01-14
60,39706,Wrong Item,40535.18,2026-03-03
61,19547,Wrong Item,42862.89,2025-04-24
62,47121,Damaged Product,12909.81,2024-07-28
63,32051,Wrong Item,40636.84,2025-06-13
64,10291,Late Delivery,47912.16,2026-05-09
65,25377,Late Delivery,44943.5,2025-12-10
66,16960,Late Delivery,30080.84,2025-08-03
67,36063,Damaged Product,2998.99,2026-03-13
68,29285,Late Delivery,21887.93,2026-05-10
69,39309,Late Delivery,29201.75,2025-12-19
70,24339,Damaged Product,821.22,2025-02-04
71,2043,Quality Issue,25026.34,2025-08-19
72,2568,Quality Issue,848.83,2025-04-21
73,36540,Quality Issue,36099.54,2024-09-13
74,36010,Changed Mind,5917.06,2026-04-28
75,37023,Damaged Product,7768.43,2024-05-27
76,18235,Wrong Item,33981.95,2025-07-28
77,48252,Wrong Item,397.0,2024-09-08
78,15443,Wrong Item,32671.05,2025-06-30
79,43160,Quality Issue,9217.85,2025-04-22
80,16642,Wrong Item,27527.61,2026-04-21
81,19278,Late Delivery,48676.9,2025-06-05
82,22456,Late Delivery,31040.53,2025-12-27
83,25715,Quality Issue,16774.12,2025-08-10
84,49231,Late Delivery,42237.25,2025-08-15
85,9342,Damaged Product,3869.11,2025-07-30
86,14185,Wrong Item,41141.92,2025-04-26
87,9152,Late Delivery,44078.37,2025-07-24
88,37260,Quality Issue,3905.96,2025-10-18
89,27115,Quality Issue,23405.33,2024-06-23
90,10393,Late Delivery,24246.19,2025-02-27
91,14889,Damaged Product,30080.78,2025-01-20
92,38411,Late Delivery,28418.01,2025-01-29
93,42752,Late Delivery,49640.78,2025-05-14
94,2379,Changed Mind,44061.51,2025-12-03
95,41498,Changed Mind,19578.27,2025-05-06
96,43473,Quality Issue,36703.69,2025-09-04
97,22178,Damaged Product,22988.82,2026-03-24
98,29744,Quality Issue,32469.64,2025-12-03
99,10491,Damaged Product,21378.03,2025-12-27
100,32846,Quality Issue,2603.86,2024-11-26
101,4359,Damaged Product,25379.95,2024-12-12
102,30245,Late Delivery,18044.98,2026-04-06
103,7474,Changed Mind,40835.09,2025-02-27
104,68,Late Delivery,12018.93,2025-04-28
105,14718,Quality Issue,37085.86,2026-03-19
106,26154,Quality Issue,14475.07,2026-04-26
107,46579,Late Delivery,12797.43,2024-09-03
108,11896,Damaged Product,38300.37,2025-06-30
109,49565,Quality Issue,20890.75,2025-12-01
110,6444,Quality Issue,211.69,2025-02-19
111,43806,Changed Mind,31602.18,2025-10-17
112,14359,Changed Mind,33254.22,2026-05-18
113,49387,Damaged Product,458.16,2025-12-22
114,3774,Wrong Item,35383.29,2025-06-03
115,35300,Quality Issue,6856.51,2025-07-12
116,21993,Quality Issue,44655.32,2026-03-28
117,5305,Quality Issue,22385.55,2026-03-28
118,43907,Damaged Product,23843.05,2024-12-08
119,8392,Wrong Item,44545.53,2026-01-02
120,42983,Wrong Item,23372.61,2025-05-31
121,49723,Late Delivery,16756.24,2025-09-28
122,2736,Changed Mind,46968.83,2025-06-13
123,16692,Changed Mind,32119.19,2024-09-10
124,29011,Damaged Product,33047.1,2025-01-31
125,8102,Changed Mind,549.97,2024-12-18
126,48755,Wrong Item,44700.63,2024-10-09
127,28537,Changed Mind,33384.36,2024-12-23
128,16846,Damaged Product,35075.95,2025-07-10
129,17305,Wrong Item,40107.97,2024-06-01
130,10588,Damaged Product,3966.51,2025-06-21
131,3186,Damaged Product,26869.96,2024-08-18
132,2863,Damaged Product,8690.83,2024-08-12
133,7732,Late Delivery,1470.76,2024-10-20
134,41723,Wrong Item,26142.96,2026-01-29
135,18185,Damaged Product,32618.16,2024-09-09
136,498,Damaged Product,33423.78,2024-07-02
137,40618,Quality Issue,25233.66,2025-06-13
138,16525,Wrong Item,39072.65,2026-03-10
139,32232,Wrong Item,18378.93,2026-04-10
140,12436,Late Delivery,10890.1,2025-03-31
141,7135,Quality Issue,12929.8,2024-10-09
142,31980,Quality Issue,37309.27,2026-05-01
143,7577,Late Delivery,36446.11,2025-12-06
144,18537,Quality Issue,33069.02,2025-03-27
145,33157,Late Delivery,37911.11,2025-09-15
146,29144,Wrong Item,14116.16,2026-01-06
147,29985,Wrong Item,36151.09,2025-05-29
148,7557,Wrong Item,29240.55,2025-07-06
149,14475,Changed Mind,49078.37,2025-06-08
150,35639,Damaged Product,40791.73,2025-08-01
151,37532,Wrong Item,3170.72,2025-12-27
152,12103,Damaged Product,12063.36,2025-01-04
153,17875,Wrong Item,12460.95,2026-01-09
154,45651,Wrong Item,37372.62,2024-08-20
155,37073,Damaged Product,6794.38,2024-11-20
156,45430,Wrong Item,17616.64,2025-03-26
157,49296,Quality Issue,34741.72,2024-12-14
158,27547,Quality Issue,7022.35,2025-12-24
159,39588,Quality Issue,31499.79,2026-04-03
160,22506,Changed Mind,18672.09,2026-02-02
161,4649,Wrong Item,12805.59,2025-11-25
162,47459,Quality Issue,21693.03,2025-11-14
163,38279,Quality Issue,22045.86,2025-06-17
164,41377,Quality Issue,41096.61,2026-01-15
165,39472,Wrong Item,47855.66,2025-01-03
166,12068,Quality Issue,24474.44,2026-04-06
167,14982,Changed Mind,29179.39,2024-06-22
168,40539,Quality Issue,45150.75,2026-03-02
169,18147,Late Delivery,27091.76,2024-11-19
170,26658,Wrong Item,12294.96,2025-08-26
171,48596,Changed Mind,32857.82,2026-04-02
172,3898,Damaged Product,7980.53,2026-03-17
173,21298,Changed Mind,8960.21,2025-05-01
174,20451,Changed Mind,40265.49,2026-04-06
175,22312,Quality Issue,12755.29,2026-05-03
176,30467,Damaged Product,44975.83,2024-12-28
177,44170,Late Delivery,26821.38,2024-07-08
178,38281,Late Delivery,42102.51,2025-02-12
179,41891,Quality Issue,28790.06,2025-12-21
180,4288,Damaged Product,1097.17,2026-02-02
181,44655,Damaged Product,33126.76,2024-10-01
182,19111,Quality Issue,19550.48,2025-02-21
183,12211,Late Delivery,38212.15,2026-02-14
184,11275,Late Delivery,34419.22,2026-04-26
185,8196,Wrong Item,40663.8,2026-03-09
186,19980,Changed Mind,19992.66,2026-03-25
187,22804,Quality Issue,15513.45,2024-06-15
188,45981,Damaged Product,35868.87,2024-09-06
189,18192,Changed Mind,9215.45,2024-11-06
190,37382,Damaged Product,15595.02,2025-07-25
191,15645,Quality Issue,45492.46,2024-10-02
192,6074,Quality Issue,36635.98,2025-08-30
193,23138,Wrong Item,40392.17,2026-02-14
194,41012,Wrong Item,5530.85,2024-08-19
195,30804,Late Delivery,32308.58,2024-11-16
196,18262,Damaged Product,8633.72,2026-02-11
197,11358,Damaged Product,25269.62,2025-10-26
198,40282,Changed Mind,6348.2,2025-11-18
199,23091,Wrong Item,37871.44,2025-06-01
200,17213,Damaged Product,32100.4,2024-08-02
201,44889,Wrong Item,8348.58,2025-07-16
202,46906,Late Delivery,38217.36,2024-10-01
203,36346,Quality Issue,22258.06,2024-10-24
204,46298,Late Delivery,20142.04,2025-05-28
205,37172,Wrong Item,19179.99,2025-02-04
206,35219,Changed Mind,6839.65,2025-05-28
207,14875,Changed Mind,45781.05,2025-08-25
208,36205,Quality Issue,34155.2,2025-03-11
209,35848,Changed Mind,37673.82,2024-08-23
210,29030,Changed Mind,6853.66,2024-06-16
211,2866,Damaged Product,1957.18,2026-02-14
212,38035,Changed Mind,49557.6,2024-12-07
213,3059,Changed Mind,27487.0,2026-04-02
214,15315,Quality Issue,42069.13,2024-06-23
215,41031,Changed Mind,38741.03,2025-09-23
216,46313,Quality Issue,35489.3,2026-01-05
217,19388,Damaged Product,18959.78,2025-08-01
218,12210,Late Delivery,21706.44,2025-02-20
219,22226,Wrong Item,47002.42,2025-06-21
220,47440,Quality Issue,11812.19,2024-12-02
221,20543,Late Delivery,40817.16,2026-04-20
222,18294,Late Delivery,44104.73,2025-03-21
223,33699,Wrong Item,24283.17,2024-06-12
224,48839,Wrong Item,30784.34,2026-03-27
225,28253,Damaged Product,7469.05,2026-02-04
226,36190,Wrong Item,45580.07,2025-11-20
227,19964,Quality Issue,22387.74,2024-12-16
228,14192,Damaged Product,42834.19,2025-02-27
229,12571,Changed Mind,12102.23,2025-06-11
230,18150,Late Delivery,38820.84,2024-05-23
231,26560,Quality Issue,11905.78,2024-12-31
232,27055,Changed Mind,37109.94,2025-08-16
233,2365,Damaged Product,43817.41,2025-06-30
234,14639,Changed Mind,3747.04,2024-06-28
235,20026,Damaged Product,3079.03,2026-04-03
236,27450,Quality Issue,23360.28,2025-09-29
237,23226,Late Delivery,36005.18,2025-08-24
238,7438,Changed Mind,37808.62,2024-08-28
239,38349,Changed Mind,24398.4,2025-11-08
240,31283,Late Delivery,46345.43,2025-08-17
241,40178,Damaged Product,28867.97,2025-04-08
242,10080,Damaged Product,45189.14,2025-10-31
243,9932,Wrong Item,45006.17,2024-08-05
244,41401,Quality Issue,4560.79,2025-08-31
245,13814,Quality Issue,7501.51,2024-09-03
246,6342,Late Delivery,23458.36,2025-07-21
247,38553,Damaged Product,21015.93,2025-07-26
248,7222,Wrong Item,29499.55,2024-11-17
249,5583,Damaged Product,4060.32,2025-09-30
250,5568,Late Delivery,37657.44,2024-11-27
251,20420,Quality Issue,49982.41,2025-02-23
252,19020,Quality Issue,29286.34,2026-01-16
253,16567,Late Delivery,10753.24,2025-12-15
254,9954,Quality Issue,45842.25,2024-10-16
255,45844,Changed Mind,31509.32,2025-10-25
256,10167,Wrong Item,37526.89,2025-09-22
257,43436,Quality Issue,23862.66,2025-04-06
258,36849,Late Delivery,923.27,2024-07-03
259,16135,Wrong Item,35528.4,2025-04-30
260,48631,Late Delivery,9797.94,2024-08-08
261,39780,Changed Mind,45949.39,2025-03-29
262,28266,Late Delivery,1154.87,2024-12-07
263,21235,Damaged Product,428.72,2025-06-28
264,19678,Quality Issue,11324.58,2025-04-19
265,17043,Quality Issue,21650.52,2026-01-17
266,22471,Damaged Product,11876.52,2025-07-20
267,9661,Quality Issue,43253.6,2024-10-14
268,27246,Quality Issue,9993.74,2025-10-11
269,19437,Quality Issue,24009.25,2025-10-07
270,15546,Wrong Item,30392.09,2025-05-29
271,40237,Quality Issue,1439.03,2026-05-11
272,29014,Late Delivery,29023.42,2025-10-17
273,3684,Late Delivery,12840.95,2024-12-07
274,18194,Quality Issue,38054.85,2025-10-04
275,39158,Damaged Product,14304.29,2025-04-06
276,17626,Late Delivery,43096.74,2024-11-02
277,26466,Quality Issue,39897.02,2026-05-03
278,29851,Damaged Product,47845.49,2025-06-09
279,40312,Changed Mind,34107.74,2025-04-14
280,9548,Changed Mind,49215.6,2024-12-27
281,10073,Late Delivery,28345.14,2025-11-15
282,30736,Damaged Product,38110.9,2025-02-27
283,19836,Wrong Item,15789.88,2025-12-18
284,28124,Damaged Product,40368.89,2025-07-28
285,35384,Quality Issue,41034.21,2025-05-31
286,33204,Wrong Item,8606.77,2024-06-29
287,29450,Wrong Item,44489.92,2024-10-11
288,32586,Wrong Item,35784.26,2025-03-04
289,21354,Late Delivery,28992.79,2024-08-12
290,29935,Wrong Item,32297.5,2025-10-09
291,40705,Damaged Product,48120.09,2025-04-11
292,42097,Damaged Product,38233.4,2026-03-13
293,20018,Changed Mind,44925.03,2024-10-29
294,38025,Quality Issue,18500.54,2025-10-27
295,12044,Late Delivery,42282.34,2024-06-18
296,1202,Wrong Item,37548.31,2025-11-10
297,46486,Wrong Item,1769.32,2025-11-14
298,6519,Changed Mind,1229.88,2025-09-13
299,9158,Changed Mind,5492.2,2025-09-03
300,15046,Quality Issue,1509.04,2025-06-19
301,12193,Changed Mind,44743.52,2026-01-25
302,6115,Damaged Product,16983.61,2026-04-10
303,13312,Late Delivery,30074.58,2024-12-19
304,27383,Wrong Item,43917.91,2025-11-30
305,18933,Wrong Item,18903.0,2024-11-02
306,5878,Quality Issue,45377.91,2024-07-26
307,1088,Late Delivery,9485.84,2025-01-10
308,48799,Quality Issue,4890.96,2025-05-15
309,6685,Wrong Item,5206.66,2025-07-26
310,737,Changed Mind,31239.27,2025-03-28
311,42312,Wrong Item,820.86,2026-01-23
312,13151,Quality Issue,4445.55,2026-04-12
313,3316,Changed Mind,30386.91,2025-04-30
314,18352,Quality Issue,37160.54,2025-07-22
315,49703,Quality Issue,4943.69,2024-11-16
316,42599,Wrong Item,20539.01,2024-08-26
317,11583,Late Delivery,44152.63,2024-05-24
318,49109,Wrong Item,16868.82,2025-10-29
319,38002,Wrong Item,25602.11,2024-05-29
320,23745,Damaged Product,32717.58,2025-11-24
321,25095,Wrong Item,24682.1,2025-11-14
322,1436,Wrong Item,33431.43,2025-10-31
323,27353,Quality Issue,15084.55,2025-09-28
324,35773,Wrong Item,9151.79,2026-02-24
325,39702,Damaged Product,46488.67,2025-12-17
326,33490,Wrong Item,47784.72,2025-08-06
327,41491,Late Delivery,45788.85,2026-02-15
328,9717,Late Delivery,4547.06,2026-04-22
329,4488,Changed Mind,13345.87,2024-10-05
330,27044,Late Delivery,7845.43,2025-12-25
331,38556,Changed Mind,11194.8,2025-01-10
332,12821,Damaged Product,36498.59,2026-01-19
333,31291,Late Delivery,40774.39,2026-04-08
334,43732,Changed Mind,37076.5,2025-04-26
335,25685,Quality Issue,47528.6,2025-01-23
336,44476,Wrong Item,10869.75,2024-12-21
337,34474,Wrong Item,41693.51,2026-03-22
338,15456,Damaged Product,818.59,2025-05-25
339,42166,Quality Issue,41170.26,2025-03-31
340,38033,Damaged Product,35533.79,2024-09-11
341,34120,Wrong Item,17363.29,2024-06-05
342,4820,Wrong Item,25557.75,2025-12-09
343,23500,Late Delivery,26658.14,2025-07-24
344,4312,Changed Mind,2984.36,2025-11-16
345,36243,Changed Mind,35513.47,2025-05-12
346,46310,Changed Mind,24544.22,2025-05-04
347,23796,Quality Issue,10095.37,2026-05-06
348,40162,Wrong Item,49704.4,2024-06-01
349,39883,Wrong Item,8799.05,2024-11-23
350,14400,Late Delivery,9189.86,2024-07-04
351,26210,Damaged Product,32977.99,2025-04-09
352,10136,Late Delivery,7526.7,2024-12-04
353,12629,Quality Issue,18480.43,2024-09-28
354,1978,Quality Issue,34502.32,2026-02-12
355,30915,Damaged Product,33876.2,2025-12-06
356,32872,Late Delivery,8931.94,2024-07-05
357,24244,Quality Issue,3762.36,2026-01-08
358,10188,Changed Mind,10356.77,2024-08-18
359,16438,Changed Mind,38277.31,2025-10-29
360,8278,Damaged Product,48496.37,2025-01-21
361,15166,Changed Mind,41760.38,2026-05-15
362,12328,Late Delivery,27135.3,2024-12-07
363,45916,Wrong Item,48155.21,2025-08-25
364,29454,Changed Mind,9559.42,2024-06-09
365,49089,Changed Mind,1224.15,2025-05-25
366,24517,Damaged Product,34461.04,2025-04-25
367,40702,Damaged Product,18420.79,2025-04-11
368,25394,Changed Mind,19020.15,2024-06-19
369,19810,Wrong Item,2464.05,2024-11-25
370,29177,Quality Issue,21657.51,2026-03-23
371,37075,Damaged Product,1003.64,2025-01-09
372,32433,Damaged Product,44356.96,2026-01-09
373,28351,Damaged Product,43080.95,2025-10-31
374,44385,Quality Issue,23605.78,2024-10-12
375,19137,Wrong Item,26499.55,2025-03-26
376,32317,Wrong Item,18695.53,2024-11-17
377,16418,Wrong Item,49050.71,2024-10-01
378,31275,Quality Issue,2849.13,2024-12-30
379,29018,Late Delivery,31346.18,2026-01-08
380,33001,Damaged Product,4677.01,2025-11-22
381,31109,Late Delivery,27796.66,2025-10-10
382,26712,Late Delivery,37036.59,2025-07-10
383,10333,Changed Mind,44942.47,2025-11-05
384,15779,Changed Mind,30448.26,2024-07-22
385,35023,Damaged Product,37255.57,2025-10-09
386,1235,Wrong Item,29140.97,2026-03-04
387,35634,Wrong Item,44954.29,2024-09-15
388,1684,Damaged Product,30257.34,2025-05-10
389,15939,Damaged Product,41429.24,2025-02-15
390,2062,Quality Issue,25407.47,2025-05-08
391,8348,Quality Issue,36809.94,2026-03-23
392,40075,Quality Issue,31171.35,2024-11-19
393,5408,Late Delivery,2415.36,2024-09-04
394,34295,Wrong Item,7392.93,2025-09-26
395,5908,Damaged Product,14665.67,2024-08-15
396,43685,Late Delivery,16720.73,2025-05-07
397,28459,Quality Issue,27937.05,2024-12-26
398,45703,Late Delivery,12091.05,2024-08-02
399,8812,Quality Issue,34545.55,2024-12-19
400,42601,Late Delivery,30798.76,2025-12-03
401,27267,Damaged Product,45929.84,2025-08-29
402,32133,Damaged Product,49165.58,2026-03-13
403,6103,Quality Issue,7856.04,2025-12-08
404,32824,Quality Issue,42083.8,2025-07-09
405,30405,Changed Mind,13705.82,2025-06-07
406,3934,Changed Mind,3936.19,2025-03-31
407,27240,Quality Issue,22368.03,2025-01-22
408,21794,Changed Mind,33182.96,2025-10-11
409,22208,Damaged Product,9886.77,2024-06-25
410,26112,Late Delivery,6438.26,2025-05-11
411,3039,Changed Mind,7343.03,2026-05-10
412,47424,Wrong Item,34384.76,2024-08-08
413,19732,Quality Issue,15652.72,2026-01-16
414,16691,Late Delivery,45101.32,2025-08-06
415,36460,Changed Mind,26945.06,2026-02-22
416,5126,Wrong Item,14395.6,2025-01-11
417,11443,Wrong Item,18634.93,2024-08-30
418,18322,Damaged Product,14382.6,2024-09-20
419,26970,Changed Mind,13914.08,2024-06-24
420,35602,Late Delivery,35294.38,2026-02-17
421,48068,Changed Mind,40617.04,2025-03-23
422,39609,Quality Issue,16375.81,2024-09-08
423,48371,Changed Mind,11001.74,2024-12-30
424,44667,Wrong Item,21786.65,2025-01-30
425,41560,Quality Issue,1512.42,2026-04-28
426,26371,Damaged Product,32201.91,2025-06-27
427,32859,Late Delivery,32427.81,2025-03-01
428,27165,Late Delivery,22887.69,2024-07-02
429,10790,Wrong Item,13029.11,2025-05-10
430,17023,Wrong Item,49286.5,2026-04-26
431,27956,Wrong Item,48866.13,2024-12-23
432,24060,Late Delivery,16849.74,2025-12-18
433,33708,Wrong Item,25027.52,2026-04-20
434,29480,Late Delivery,38107.54,2024-12-31
435,43352,Late Delivery,32532.73,2025-12-03
436,38768,Damaged Product,47048.35,2026-01-01
437,12897,Late Delivery,47331.84,2025-05-24
438,15377,Late Delivery,10815.25,2024-08-21
439,33738,Changed Mind,44214.78,2025-04-16
440,5924,Late Delivery,43518.79,2025-10-22
441,37489,Late Delivery,12987.35,2024-07-11
442,48478,Damaged Product,35709.11,2026-03-17
443,37525,Changed Mind,20453.59,2025-09-29
444,44678,Changed Mind,40490.91,2024-09-17
445,47841,Wrong Item,40980.24,2026-03-25
446,7600,Quality Issue,25796.33,2025-10-13
447,24284,Wrong Item,32040.06,2025-07-22
448,35490,Late Delivery,1113.79,2025-08-22
449,49565,Changed Mind,22295.08,2025-09-05
450,39539,Late Delivery,27153.97,2024-10-04
451,29813,Wrong Item,16020.53,2025-09-23
452,38401,Wrong Item,44495.73,2025-09-28
453,12580,Wrong Item,45380.39,2024-07-28
454,45537,Damaged Product,28075.24,2025-10-15
455,41220,Damaged Product,17423.53,2024-12-21
456,8301,Quality Issue,39626.57,2025-10-14
457,17432,Changed Mind,8721.28,2026-05-14
458,5629,Wrong Item,21778.06,2025-10-07
459,45835,Damaged Product,13190.74,2024-08-28
460,41269,Late Delivery,3589.36,2025-12-21
461,49490,Late Delivery,6565.21,2025-07-30
462,3218,Quality Issue,36942.72,2025-06-07
463,48912,Late Delivery,13290.68,2026-05-17
464,15864,Wrong Item,5915.9,2024-11-21
465,27709,Quality Issue,18399.22,2025-02-21
466,30507,Late Delivery,44276.74,2025-08-10
467,3264,Damaged Product,39402.99,2024-12-11
468,44502,Changed Mind,23091.22,2025-02-06
469,47545,Quality Issue,7876.74,2024-05-27
470,4331,Changed Mind,34372.51,2025-04-20
471,22461,Late Delivery,45890.79,2025-08-24
472,19602,Damaged Product,18453.66,2024-07-02
473,26884,Wrong Item,25476.2,2026-04-06
474,19873,Damaged Product,27250.03,2026-03-30
475,15946,Wrong Item,31281.41,2026-02-08
476,41340,Damaged Product,36594.07,2025-07-21
477,16035,Late Delivery,8056.0,2024-09-07
478,13619,Damaged Product,25270.76,2024-11-20
479,30706,Late Delivery,36046.14,2025-11-07
480,41620,Changed Mind,10153.2,2024-12-24
481,46023,Damaged Product,3345.79,2025-10-29
482,33758,Quality Issue,39466.01,2025-05-02
483,17733,Wrong Item,29995.3,2024-12-04
484,43576,Changed Mind,9849.52,2024-08-12
485,24290,Damaged Product,36144.56,2025-01-26
486,36299,Damaged Product,21468.69,2025-08-18
487,33438,Wrong Item,32093.21,2024-09-29
488,5353,Quality Issue,25962.5,2025-06-25
489,6824,Wrong Item,4682.65,2024-11-08
490,46391,Damaged Product,16816.99,2024-07-23
491,31410,Late Delivery,25736.91,2024-06-27
492,24233,Late Delivery,43287.34,2025-05-08
493,11302,Changed Mind,24517.64,2025-07-18
494,36468,Changed Mind,10788.95,2025-10-20
495,11136,Wrong Item,41099.97,2026-02-25
496,8946,Changed Mind,26104.28,2024-12-26
497,19937,Quality Issue,47659.32,2025-03-21
498,24786,Wrong Item,25108.27,2026-03-19
499,47703,Late Delivery,39292.11,2025-12-01
500,16744,Damaged Product,5905.29,2024-07-24
501,17999,Changed Mind,39540.25,2024-08-01
502,44949,Damaged Product,7992.91,2025-03-18
503,5542,Late Delivery,3659.0,2026-01-07
504,41645,Quality Issue,45617.93,2025-01-31
505,30629,Quality Issue,27296.67,2026-02-05
506,13024,Wrong Item,44219.43,2024-06-19
507,3842,Damaged Product,36500.26,2025-09-27
508,10273,Changed Mind,16838.07,2025-05-17
509,47251,Late Delivery,7546.59,2025-07-05
510,18767,Changed Mind,26190.63,2025-05-12
511,19827,Wrong Item,41852.42,2025-02-09
512,17279,Wrong Item,27733.04,2024-06-15
513,27669,Wrong Item,27072.99,2025-05-13
514,30777,Wrong Item,20818.62,2026-01-20
515,16090,Late Delivery,49266.36,2025-10-25
516,6541,Changed Mind,24444.99,2024-07-26
517,16744,Wrong Item,40950.83,2025-04-04
518,22886,Damaged Product,39125.68,2024-07-01
519,10850,Quality Issue,29262.56,2025-02-13
520,37016,Quality Issue,31954.69,2024-06-08
521,38303,Wrong Item,42457.58,2024-12-20
522,1847,Changed Mind,15420.61,2026-03-21
523,28309,Changed Mind,30318.9,2025-06-05
524,46531,Wrong Item,19242.01,2025-02-23
525,34055,Late Delivery,49224.47,2025-10-01
526,16569,Wrong Item,7480.88,2024-10-18
527,25330,Quality Issue,39677.6,2024-08-21
528,27080,Quality Issue,25044.38,2024-11-27
529,5771,Quality Issue,40442.07,2025-11-12
530,14169,Quality Issue,18372.82,2025-10-22
531,25098,Quality Issue,46347.23,2025-11-04
532,48520,Late Delivery,39895.55,2026-05-14
533,3677,Damaged Product,7141.12,2026-05-19
534,41407,Wrong Item,36798.84,2024-05-24
535,1737,Quality Issue,2040.66,2026-02-10
536,28111,Quality Issue,20509.45,2024-11-14
537,19168,Changed Mind,49728.2,2025-11-05
538,43067,Late Delivery,21610.63,2024-08-02
539,2218,Late Delivery,21901.05,2025-05-20
540,46697,Wrong Item,33936.45,2025-05-01
541,6424,Wrong Item,25101.4,2024-07-21
542,35687,Late Delivery,39168.65,2024-07-08
543,40737,Wrong Item,32274.47,2025-11-01
544,28863,Damaged Product,10857.04,2026-02-07
545,10627,Wrong Item,24940.03,2025-01-28
546,31928,Late Delivery,1793.8,2026-01-06
547,37176,Wrong Item,11644.48,2025-09-18
548,23477,Damaged Product,35637.98,2024-08-31
549,25532,Changed Mind,43968.76,2025-05-29
550,719,Wrong Item,42388.78,2024-11-17
551,4338,Late Delivery,15275.31,2025-08-26
552,39623,Quality Issue,37803.13,2024-08-10
553,39268,Changed Mind,31568.76,2025-08-12
554,47116,Wrong Item,47730.81,2024-07-15
555,33958,Wrong Item,9181.87,2024-11-17
556,20960,Changed Mind,17378.6,2025-12-03
557,14097,Late Delivery,19136.09,2026-02-16
558,2638,Changed Mind,21221.87,2025-07-29
559,48552,Quality Issue,29502.98,2025-06-19
560,26652,Late Delivery,12497.29,2024-10-22
561,49569,Wrong Item,2684.0,2025-11-10
562,11475,Late Delivery,16055.15,2025-01-26
563,7883,Late Delivery,22146.38,2025-07-10
564,30901,Late Delivery,37054.24,2025-08-20
565,25026,Quality Issue,15578.32,2025-11-28
566,16387,Wrong Item,35182.13,2025-11-25
567,36560,Quality Issue,9572.54,2026-01-25
568,24462,Quality Issue,9443.92,2025-03-09
569,43055,Quality Issue,23199.71,2024-12-06
570,44710,Damaged Product,39660.75,2025-02-03
571,17452,Wrong Item,16661.35,2025-01-08
572,20587,Wrong Item,15943.22,2025-02-27
573,14010,Damaged Product,36530.2,2025-10-29
574,43794,Changed Mind,8312.26,2025-06-01
575,16086,Quality Issue,7221.45,2025-01-29
576,30679,Late Delivery,12070.27,2024-08-26
577,11988,Quality Issue,17493.02,2025-03-30
578,12136,Wrong Item,4612.81,2024-08-19
579,599,Quality Issue,44153.47,2026-03-13
580,48669,Quality Issue,22523.01,2024-05-23
581,38735,Late Delivery,7995.13,2025-02-22
582,23481,Quality Issue,13168.02,2024-08-30
